id,fuente,titulo,moneda,precio_uf,precio_clp,gastos_comunes_clp,gastos_comunes_estimado,total_estimado_clp,dormitorios,banos,superficie_m2,antiguedad_anios,admite_mascotas,estacionamientos,bodegas,amoblado,piso,orientacion,direccion,comuna,barrio,metro_cercano,metro_dist_m,corredor,plazo_entrega,lat,lng,relevancia,match_perfecto,dentro_presupuesto,calza_dormitorios,es_nuevo,precio_anterior,precio_delta,grupo_carac,precio_grupo_prom,delta_grupo_pct,etiqueta_precio,url,google_maps
bfe8852e103895c3,portalinmobiliario,Eyzaguirre 771 / Entre San Francisco Y Santa Rosa,CLP,,320000,55000,False,375000,1,1,35.0,5,False,0,0,False,12,S,"EYZAGUIRRE 771 / ENTRE SAN FANCISCO Y SANTA ROSA, San Diego, Santiago",Santiago,,Parque Almagro,629,True,,-33.4518854,-70.6461449,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,-2.3,normal,https://portalinmobiliario.com/MLC-2092619405-eyzaguirre-771-entre-san-francisco-y-santa-rosa-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4518854,-70.6461449"
2de5cc5af7dd4e4e,portalinmobiliario,Oferta Primeros 3 Meses! Departamento A Pasos Metro Cumming,CLP,,300000,77000,False,377000,1,1,31.0,11,False,0,0,False,10,P,"Gral. Baquedano 775, Santiago, Barrio Brasil, Santiago",Santiago,,La Moneda,1337,True,,-33.4363618,-70.6659886,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,0.0,normal,https://portalinmobiliario.com/MLC-4329779462-oferta-primeros-3-meses-departamento-a-pasos-metro-cumming-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4363618,-70.6659886"
7ac3968937e72cdc,portalinmobiliario,Fam Huemul,CLP,,306000,73000,False,379000,1,1,27.0,,,,,,,,"Centenario 1329, Santiago, Franklin - Biobío, Santiago",Santiago,,Inés de Suárez,4453,,,-33.4232034,-70.5477711,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,2.0,normal,https://portalinmobiliario.com/MLC-2851494484-fam-huemul-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4232034,-70.5477711"
103250ee3b637014,portalinmobiliario,Departamento Gorbea Id: 39160,CLP,,300000,80000,False,380000,1,1,42.0,0,False,0,0,False,3,N,"Gorbea, Barrio República, Santiago",Santiago,,La Moneda,1118,True,,-33.45176,-70.6596068,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,-8.4,normal,https://portalinmobiliario.com/MLC-4244618706-departamento-gorbea-id-39160-_JM,"https://www.google.com/maps/search/?api=1&query=-33.45176,-70.6596068"
692cd42bf6aa466c,portalinmobiliario,"Ejército Libertador 634 - Departamento Studio, Santiago",CLP,,304800,75996,False,380796,1,1,29.0,3,False,0,0,False,1,O,"Av. Ejército Libertador 634, Ejército - Toesca, Santiago",Santiago,,Parque Almagro,1235,True,,-33.4547412,-70.659895,25,False,False,True,False,304791,9,Santiago · 1D 1B · <35 m²,300000,1.6,normal,https://portalinmobiliario.com/MLC-4222357518-ejercito-libertador-634-departamento-studio-santiago-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4547412,-70.659895"
8c0634d941be5ec8,portalinmobiliario,Sazié,CLP,,304000,78000,False,382000,,1,32.0,,,,,,,,"Sazié 2357, Santiago, Barrio República, Santiago",Santiago,,La Moneda,1688,,,-33.4512502,-70.6690918,25,False,False,False,False,,,,,,,https://portalinmobiliario.com/MLC-4045106004-sazie-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4512502,-70.6690918"
84b8d41475822954,portalinmobiliario,Departamento Lord Cochrane Id: 7447,CLP,,315100,70000,False,385100,1,1,32.0,9,False,0,0,False,29,O,"Lord Cochrane, Parque Almagro, Santiago",Santiago,,Matta,847,True,,-33.4653444,-70.6527257,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,5.0,normal,https://portalinmobiliario.com/MLC-4317263200-departamento-lord-cochrane-id-7447-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4653444,-70.6527257"
e6c71ead883a681e,portalinmobiliario,Oportunidad!!!! El Primer Mes A Mitad De Precio,CLP,,320000,70000,False,390000,1,1,3.0,16,True,0,0,False,10,O,"Eleuterio Ramírez, 1070, San Diego, Santiago",Santiago,,La Moneda,766,True,,-33.4496078,-70.6519976,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,6.7,normal,https://portalinmobiliario.com/MLC-4212612308-oportunidad-el-primer-mes-a-mitad-de-precio-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4496078,-70.6519976"
12d7261610127fdc,portalinmobiliario,Edificio Nataniel Cox Vista Suroriente Piso 21,CLP,,320000,70000,False,390000,1,1,27.0,,True,0,0,False,21,SO,"Nataniel Cox 223, Bulnes, Santiago",Santiago,,La Moneda,696,True,,-33.449148,-70.6534848,25,False,False,True,True,,,Santiago · 1D 1B · <35 m²,300000,6.7,normal,https://portalinmobiliario.com/MLC-4362188090-edificio-nataniel-cox-vista-suroriente-piso-21-_JM,"https://www.google.com/maps/search/?api=1&query=-33.449148,-70.6534848"
41355e9bfc0c0fe3,portalinmobiliario,"1 Hab, 1 Baño, Miguel Leon Prado 55",CLP,,300000,90000,False,390000,1,1,29.0,,False,0,0,False,4,SP,"MIGUEL LEON PRADO 55, SANTIAGO, Bogotá - Sierra Bella, Santiago",Santiago,,Irarrázaval,812,True,,-33.4619277,-70.6287147,25,False,False,True,True,,,Santiago · 1D 1B · <35 m²,300000,0.0,normal,https://portalinmobiliario.com/MLC-4336564292-1-hab-1-bano-miguel-leon-prado-55-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4619277,-70.6287147"
25b5aa2502fe082d,chilepropiedades,"San Eugenio 1209, Ñuñoa",CLP,,325000,,True,395000,1,1,24.0,,,,,,,,"San Eugenio 1209, Ñuñoa",Ñuñoa,,Ñuble,804,,,-33.4636955,-70.624669,25,False,False,True,False,,,Ñuñoa · 1D 1B · <35 m²,380000,-14.5,oferta,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/nunoa/departamento/san-eugenio-1209/24853046,"https://www.google.com/maps/search/?api=1&query=-33.4636955,-70.624669"
f7d26cd875c42e5a,portalinmobiliario,Edificio Vicuña Mackenna Vista Poniente Piso 2,CLP,,335000,60000,False,395000,1,1,34.0,,True,0,0,False,2,P,"Vicuña Mackenna 1385, Bogotá - Sierra Bella, Santiago",Santiago,,Irarrázaval,754,True,,-33.4605983,-70.6295685,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,11.7,caro,https://portalinmobiliario.com/MLC-4356340972-edificio-vicuna-mackenna-vista-poniente-piso-2-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4605983,-70.6295685"
