id,fuente,titulo,moneda,precio_uf,precio_clp,gastos_comunes_clp,gastos_comunes_estimado,total_estimado_clp,dormitorios,banos,superficie_m2,antiguedad_anios,admite_mascotas,estacionamientos,bodegas,amoblado,piso,orientacion,direccion,comuna,barrio,metro_cercano,metro_dist_m,corredor,plazo_entrega,lat,lng,relevancia,match_perfecto,dentro_presupuesto,calza_dormitorios,es_nuevo,precio_anterior,precio_delta,grupo_carac,precio_grupo_prom,delta_grupo_pct,etiqueta_precio,url,google_maps
fecc26e6b01b1181,portalinmobiliario,Metro Villa Frei,CLP,,600000,,True,700000,1,1,30.0,,,,,,,,"Coventry 47, Ñuñoa, Ñuñoa",Ñuñoa,,Ñuñoa,1676,,,-33.4494995,-70.5806309,50,False,True,False,True,,,Ñuñoa · 1D 1B · <35 m²,430000,39.5,caro,https://portalinmobiliario.com/MLC-4225053712-metro-villa-frei-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4494995,-70.5806309"
cd275051af0e8b9a,portalinmobiliario,Arriendo Amplio Departamento En Príncipe De Gales,CLP,,600000,,True,700000,1,1,39.0,,,,,,,,"Hamburgo, 1933, Diego De Almagro, Ñuñoa",Ñuñoa,,Ñuñoa,1935,,,-33.4522375,-70.5767167,50,False,True,False,True,,,Ñuñoa · 1D 1B · 35-50 m²,530985,13.0,caro,https://portalinmobiliario.com/MLC-2073960837-arriendo-amplio-departamento-en-principe-de-gales-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4522375,-70.5767167"
a3e4c2af7c79bbb0,portalinmobiliario,Departamento Recién Remodelado,CLP,,620000,,True,720000,2,1,58.0,,,,,,,,"Román Díaz 900 - 1200, Providencia, Salvador, Providencia",Providencia,Salvador,Manuel Montt,969,,,-33.4358421,-70.6203297,50,False,False,True,True,,,Providencia · 2D · 50-65 m²,730000,-15.1,oferta,https://portalinmobiliario.com/MLC-4198496216-departamento-recien-remodelado-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4358421,-70.6203297"
16a6b9fbdf756266,portalinmobiliario,"Depto Arriendo 2 Dorm. 1 Baño Sin Estac. Pocuro, Providencia",CLP,,640000,140000,False,780000,2,1,49.0,30,True,0,1,,5,SP,"Austria, Providencia, Pedro De Valdivia, Providencia",Providencia,Pedro de Valdivia,Pedro de Valdivia,1092,True,,-33.4351366,-70.6065949,50,False,False,True,False,,,Pedro de Valdivia · 2D · 35-50 m²,694365,-7.8,normal,https://portalinmobiliario.com/MLC-4105461264-depto-arriendo-2-dorm-1-bano-sin-estac-pocuro-providencia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4351366,-70.6065949"
2b023c59b75cc668,portalinmobiliario,Depto. Metro Inés De Suarez- Terraza- 2 D- Estacionamiento.,CLP,,680000,,True,780000,2,1,62.0,,,,,,,,"Suecia 1946, Providencia, Campus Oriente, Providencia",Providencia,Providencia,Inés de Suárez,1181,,,-33.4377438,-70.6019778,50,False,False,True,True,,,Providencia · 2D 1B · 50-65 m²,760000,-10.5,oferta,https://portalinmobiliario.com/MLC-4297846000-depto-metro-ines-de-suarez-terraza-2-d-estacionamiento-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4377438,-70.6019778"
7344d819b9a2ad29,portalinmobiliario,Arriendo Depto 2d En Metro Tobalaba (178361),CLP,,700000,,True,800000,2,1,60.0,,,,,,,,"Lota, Las Lilas, Providencia",Providencia,Providencia,Los Leones,523,,,-33.4217364,-70.5977712,50,False,False,True,True,,,Providencia · 2D 1B · 50-65 m²,760000,-7.9,normal,https://portalinmobiliario.com/MLC-2125165199-arriendo-depto-2d-en-metro-tobalaba-178361-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4217364,-70.5977712"
028eb13a2799570d,portalinmobiliario,Arriendo Depto 2d1b California Con Suecia,UF,16.0,653520,160000,False,813520,2,,43.0,30,False,1,1,False,3,O,"California, 2100 - 2400, Providencia",Providencia,Providencia,Pedro de Valdivia,1306,True,,-33.4375487,-70.6087689,50,False,False,True,False,,,Providencia · 2D · 35-50 m²,680000,-3.9,normal,https://portalinmobiliario.com/MLC-2073902687-arriendo-depto-2d1b-california-con-suecia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4375487,-70.6087689"
ecb3ae83d15b5fae,portalinmobiliario,Excelente Departamento De Estilo Antiguo Pleno Providencia,CLP,,760000,,True,860000,2,1,55.0,,,,,,,,"Av. Pocuro 2125, Providencia, Inés De Suárez, Providencia",Providencia,Providencia,Pedro de Valdivia,1205,,,-33.4359817,-70.605833,50,False,False,True,False,,,Providencia · 2D 1B · 50-65 m²,760000,0.0,normal,https://portalinmobiliario.com/MLC-2084507071-excelente-departamento-de-estilo-antiguo-pleno-providencia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4359817,-70.605833"
767921ca3a66dbf8,portalinmobiliario,Amplio Departamento Con Vista Despejada En Providencia,CLP,,770000,,True,870000,2,1,81.0,,,,,,,,"Av Providencia, 1000, Salvador, Providencia",Providencia,Salvador,Baquedano,709,,,-33.4343968,-70.6275354,50,False,False,True,False,,,Providencia · 2D · 80+ m²,760000,1.3,normal,https://portalinmobiliario.com/MLC-4182522920-amplio-departamento-con-vista-despejada-en-providencia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4343968,-70.6275354"
1a2504301af37a2a,chilepropiedades,"José M Infante/ Bilbao, Providencia",CLP,,800000,,True,900000,2,1,60.0,,,,,,,,"José M Infante/ Bilbao, Providencia",Providencia,Providencia,Parque Bustamante,942,,,-33.4401701,-70.6209902,50,False,False,True,False,,,Providencia · 2D 1B · 50-65 m²,760000,5.3,normal,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/departamento/jose-m-infante-bilbao/124871811,"https://www.google.com/maps/search/?api=1&query=-33.4401701,-70.6209902"
8dcb725c0dd7f84b,chilepropiedades,"Miguel Claro, Providencia",CLP,,800000,,True,900000,2,1,44.0,,,,,,,,"Miguel Claro, Providencia",Providencia,Providencia,Parque Bustamante,1233,,,-33.444675,-70.6174849,50,False,False,True,False,,,Providencia · 2D 1B · 35-50 m²,800000,0.0,normal,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/departamento/miguel-claro/124866333,"https://www.google.com/maps/search/?api=1&query=-33.444675,-70.6174849"
0f2430f1342cab81,chilepropiedades,"Amoblado full con estacionamiento - impecable (174353), Providencia",CLP,,920000,,True,1020000,2,1,52.0,,,,,,,,"Amoblado full con estacionamiento - impecable (174353), Providencia",Providencia,Providencia,Manuel Montt,554,,,-33.43125,-70.613375,50,False,False,True,False,,,Providencia · 2D 1B · 50-65 m²,760000,21.1,caro,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/departamento/amoblado-full-con-estacionamiento-impecable-174353/124069319,"https://www.google.com/maps/search/?api=1&query=-33.43125,-70.613375"
e54da2a8fbaf5b0b,portalinmobiliario,Catedral - Plaza De Armas,CLP,,440000,,True,540000,1,2,53.0,,,,,,,,"Catedral 1310, Santiago, Centro Histórico De Santiago, Santiago",Santiago,,Plaza de Armas,484,,,-33.4379205,-70.655813,45,False,True,False,False,,,Santiago · 1D · 50-65 m²,400000,10.0,caro,https://portalinmobiliario.com/MLC-2095180253-catedral-plaza-de-armas-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4379205,-70.655813"
985500006d97a313,portalinmobiliario,Arriendo Loft Amoblado En Metro Santa Ana,CLP,,470000,,True,570000,1,2,61.0,,,,,,,,"San Pablo, 1539, Centro Histórico De Santiago, Santiago",Santiago,,Plaza de Armas,426,,,-33.4342729,-70.6523835,45,False,True,False,True,,,Santiago · 1D · 50-65 m²,400000,17.5,caro,https://portalinmobiliario.com/MLC-4179285074-arriendo-loft-amoblado-en-metro-santa-ana-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4342729,-70.6523835"
b06d2183ef4c0718,portalinmobiliario,Arriendo Departamento Ñuñoa,CLP,,590000,,True,690000,1,2,41.0,,,,,,,,"Duble Almeyda, Metro Ñuñoa, Ñuñoa",Ñuñoa,,Irarrázaval,351,,,-33.454181,-70.6205031,45,False,True,False,False,,,Ñuñoa · 1D · 35-50 m²,530985,11.1,caro,https://portalinmobiliario.com/MLC-2114829153-arriendo-departamento-nunoa-_JM,"https://www.google.com/maps/search/?api=1&query=-33.454181,-70.6205031"
483d466f937fd996,portalinmobiliario,"Arriendo Depto Remodelado, 2d&#43;2b, Portugal/diagonal Para",UF,15.0,612675,,True,712675,2,2,65.0,,,,,,,,"Portugal Con Diagonal Paraguay, Santa Isabel, Santiago",Santiago,Santa Isabel,Ñuble,318,,,-33.4665798,-70.6305726,45,False,False,True,False,,,Santa Isabel · 2D 2B · 65-80 m²,600000,2.1,normal,https://portalinmobiliario.com/MLC-4275269502-arriendo-depto-remodelado-2d432b-portugaldiagonal-para-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4665798,-70.6305726"
